problem,std_term_i,std_term_j,leg_term_i,leg_term_j,corr_std,corr_leg
Heat,u^2,u_xxx,P2(u),P0(u)u_xxx,-0.0339,-0.0469
Heat,u^2,uu_xxx,P2(u),P1(u)u_xxx,-0.1253,-0.1223
Heat,u^2,u^2u_xxx,P2(u),P2(u)u_xxx,-0.137,-0.0009
Heat,u^2,u^3u_xxx,P2(u),P3(u)u_xxx,-0.1673,0.0747
Heat,u^2,u^4u_xxx,P2(u),P4(u)u_xxx,-0.15,0.0322
Heat,u^2,u^5u_xxx,P2(u),P5(u)u_xxx,-0.1433,0.0089
Heat,u^2,u^6u_xxx,P2(u),P6(u)u_xxx,-0.1141,-0.0065
Heat,u^2,u_xxxx,P2(u),P0(u)u_xxxx,0.0017,-0.0281
Heat,u^2,uu_xxxx,P2(u),P1(u)u_xxxx,0.0679,0.0672
Heat,u^2,u^2u_xxxx,P2(u),P2(u)u_xxxx,0.6178,0.1915
Heat,u^2,u^3u_xxxx,P2(u),P3(u)u_xxxx,0.9735,0.9647
Heat,u^2,u^4u_xxxx,P2(u),P4(u)u_xxxx,0.7414,-0.2255
Heat,u^2,u^5u_xxxx,P2(u),P5(u)u_xxxx,0.9562,-0.9459
Heat,u^2,u^6u_xxxx,P2(u),P6(u)u_xxxx,0.7814,0.1742
Heat,u^2,u_xxxxx,P2(u),P0(u)u_xxxxx,0.0068,0.0091
Heat,u^2,uu_xxxxx,P2(u),P1(u)u_xxxxx,0.0241,0.023
Heat,u^2,u^2u_xxxxx,P2(u),P2(u)u_xxxxx,0.0293,0.0076
Heat,u^2,u^3u_xxxxx,P2(u),P3(u)u_xxxxx,0.0366,-0.0067
Heat,u^2,u^4u_xxxxx,P2(u),P4(u)u_xxxxx,0.0316,0.0025
Heat,u^2,u^5u_xxxxx,P2(u),P5(u)u_xxxxx,0.0321,-0.0149
Heat,u^2,u^6u_xxxxx,P2(u),P6(u)u_xxxxx,0.0255,-0.0074
Heat,u^2,u_xxxxxx,P2(u),P0(u)u_xxxxxx,-0.0012,0.003
Heat,u^2,uu_xxxxxx,P2(u),P1(u)u_xxxxxx,-0.0271,-0.016
Heat,u^2,u^2u_xxxxxx,P2(u),P2(u)u_xxxxxx,-0.617,-0.188
Heat,u^2,u^3u_xxxxxx,P2(u),P3(u)u_xxxxxx,-0.9704,-0.9627
Heat,u^2,u^4u_xxxxxx,P2(u),P4(u)u_xxxxxx,-0.7406,0.2262
