problem,D,P,algorithm,task,term,true_value,estimated,rel_error_pct,variance,pip,is_true_term
Heat,3,6,VB_Alg1,Drift,u^5u_xxx,,0.155862,,0.017841771766893687,0.9999994822999627,False
Heat,3,6,VB_Alg1,Drift,u^6u_xxx,,-0.11826,,0.009381547069272682,0.9999985585072051,False
Heat,3,6,SINDy,Diffusion,1,1.0,0.97866,-2.1,,,True
Heat,3,6,VB_Alg1,Diffusion,1,1.0,0.967704,-3.2,3.825469397736789e-06,1.0,True
Heat,3,6,VB_Alg1,Diffusion,u,,-0.000685,,7.07555983704002e-05,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^2,,-0.004032,,0.00046196191850740565,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^3,,0.053996,,0.0010967070885499705,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^4,,-0.075582,,0.0014682185688668634,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^5,,-0.062705,,0.0014526992479443445,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^6,,0.080725,,0.0006404836305565535,1.0,False
Heat,3,6,VB_Alg1,Diffusion,uu_x,,-0.0114,,0.00033302726132045937,0.9999999999999285,False
Heat,3,6,VB_Alg1,Diffusion,u^2u_x,,0.026903,,0.0008200619960462454,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^3u_x,,-0.033585,,0.008806586587428755,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^4u_x,,-0.026019,,0.010019805901951711,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^5u_x,,0.107415,,0.00866029384272972,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^6u_x,,-0.045275,,0.0060802417433413495,1.0,False
Heat,3,6,VB_Alg1,Diffusion,uu_xx,,-0.025589,,2.589279428579436e-05,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^2u_xx,,0.01495,,0.00013479508869680814,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^3u_xx,,-0.017964,,0.0003695838425317268,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^4u_xx,,-0.023005,,0.00042775628057800094,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^5u_xx,,0.018505,,0.0002688536959522007,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^6u_xx,,0.0067,,0.00011480527904947157,1.0,False
Heat,3,6,VB_Alg1,Diffusion,uu_xxx,,-0.007695,,3.863414082874995e-05,0.9999992849256634,False
Heat,3,6,VB_Alg1,Diffusion,u^2u_xxx,,0.007485,,0.00010966526192028856,0.9999947232422924,False
Heat,3,6,VB_Alg1,Diffusion,u^3u_xxx,,0.017915,,0.0004053907967546596,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^4u_xxx,,-0.020764,,0.0004815111502418549,1.0,False
Heat,3,6,VB_Alg1,Diffusion,u^5u_xxx,,0.001618,,0.000181912459555248,0.9999998996396834,False
Heat,3,6,VB_Alg1,Diffusion,u^6u_xxx,,0.003715,,0.00011622530231948083,0.9999999977613523,False
Heat,6,3,SINDy,Drift,u_xx,1.0,1.009129,0.9,,,True
Heat,6,3,VB_Alg1,Drift,1,,-0.000373,,0.0007177633943390889,1.0,False
Heat,6,3,VB_Alg1,Drift,u,,-0.090627,,0.005396506052280054,1.0,False
Heat,6,3,VB_Alg1,Drift,u^2,,0.090492,,0.0182652293284095,1.0,False
Heat,6,3,VB_Alg1,Drift,u^3,,0.07009,,0.032739907557915185,1.0,False
Heat,6,3,VB_Alg1,Drift,uu_x,,-0.179584,,0.009630806322961124,0.9998685377794074,False
Heat,6,3,VB_Alg1,Drift,u^2u_x,,0.472629,,0.032533434313099206,0.9999999999999416,False
Heat,6,3,VB_Alg1,Drift,u_xx,1.0,1.028466,2.8,0.001530775465012262,1.0,True
Heat,6,3,VB_Alg1,Drift,u^2u_xx,,-0.202998,,0.10374636151213301,1.0,False
